"Time","Whey Protein","Vitamin D","Omega 3","Kreatin","Kollagen"
"2026-03-13",19,70,54,29,35
"2026-03-14",21,66,59,31,39
"2026-03-15",25,61,59,30,36
"2026-03-16",21,81,62,30,35
"2026-03-17",19,82,59,30,40
"2026-03-18",18,74,64,27,36
"2026-03-19",16,76,57,26,35
"2026-03-20",15,69,50,36,35
"2026-03-21",20,63,57,31,41
"2026-03-22",24,62,56,29,38
"2026-03-23",20,71,62,30,34
"2026-03-24",24,75,62,33,38
"2026-03-25",21,73,66,31,41
"2026-03-26",18,72,55,31,42
"2026-03-27",20,72,55,25,36
"2026-03-28",18,57,52,29,40
"2026-03-29",19,52,53,33,42
"2026-03-30",17,60,51,40,40
"2026-03-31",15,60,52,33,39
"2026-04-01",16,58,48,36,36
"2026-04-02",14,58,49,32,34
"2026-04-03",15,51,50,36,35
"2026-04-04",14,48,46,33,31
"2026-04-05",13,46,42,35,33
"2026-04-06",16,53,48,39,39
"2026-04-07",15,93,45,50,34
"2026-04-08",18,100,46,41,35
"2026-04-09",15,67,47,44,39
"2026-04-10",14,56,47,38,34
"2026-04-11",15,55,47,43,38